StartTime,ForecastTime,ActualPower_MW,PredictedPower_MW
2018/08/25 06:30:00,2018/08/26 06:30:00,0.976785,0.4495801
2018/08/25 06:45:00,2018/08/26 06:45:00,1.154383,0.4982864
2018/08/25 07:00:00,2018/08/26 07:00:00,1.33198,0.6145096
2018/08/25 07:15:00,2018/08/26 07:15:00,1.33198,0.6794603
2018/08/25 07:30:00,2018/08/26 07:30:00,2.131168,0.7270536
2018/08/25 07:45:00,2018/08/26 07:45:00,2.752759,0.8547665
2018/08/25 08:00:00,2018/08/26 08:00:00,3.392109,0.8871917
2018/08/25 08:15:00,2018/08/26 08:15:00,3.267791,0.9197236
2018/08/25 08:30:00,2018/08/26 08:30:00,3.924901,0.9197236
2018/08/25 08:45:00,2018/08/26 08:45:00,4.297855,0.9197236
2018/08/25 09:00:00,2018/08/26 09:00:00,5.665355,0.9197236
2018/08/25 09:15:00,2018/08/26 09:15:00,5.452238,0.9197236
2018/08/25 09:30:00,2018/08/26 09:30:00,8.66200551048116,0.9197236
2018/08/25 09:45:00,2018/08/26 09:45:00,9.01643027083967,0.9197236
2018/08/25 10:00:00,2018/08/26 10:00:00,9.128503,0.9197236
2018/08/25 10:15:00,2018/08/26 10:15:00,9.62458230620168,0.9197236
2018/08/25 10:30:00,2018/08/26 10:30:00,9.87570538082455,0.9197236
2018/08/25 10:45:00,2018/08/26 10:45:00,10.090041722786,0.9197236
2018/08/25 11:00:00,2018/08/26 11:00:00,10.2666735109641,0.9197236
2018/08/25 11:15:00,2018/08/26 11:15:00,10.4048443809251,0.9197236
2018/08/25 11:30:00,2018/08/26 11:30:00,10.5039626637912,0.9197236
2018/08/25 11:45:00,2018/08/26 11:45:00,10.5636039198584,0.9197236
2018/08/25 12:00:00,2018/08/26 12:00:00,10.5835127561119,0.9197236
2018/08/25 12:15:00,2018/08/26 12:15:00,10.5636039198584,0.9197236
2018/08/25 12:30:00,2018/08/26 12:30:00,10.5039626637912,0.9197236
2018/08/25 12:45:00,2018/08/26 12:45:00,10.4048443809251,0.9197236
2018/08/25 13:00:00,2018/08/26 13:00:00,10.2666735109641,0.9197236
2018/08/25 13:15:00,2018/08/26 13:15:00,10.090041722786,0.9197236
2018/08/25 13:30:00,2018/08/26 13:30:00,9.87570538082455,0.9197236
2018/08/25 13:45:00,2018/08/26 13:45:00,9.62458230620168,0.9197236
2018/08/25 14:00:00,2018/08/26 14:00:00,9.33774784647599,0.9197236
2018/08/25 14:15:00,2018/08/26 14:15:00,9.01643027083967,0.9197236
2018/08/25 14:30:00,2018/08/26 14:30:00,7.388049,0.9197236
2018/08/25 14:45:00,2018/08/26 14:45:00,8.2759912666366,0.9197236
2018/08/25 15:00:00,2018/08/26 15:00:00,7.86004051156011,0.9197236
2018/08/25 15:15:00,2018/08/26 15:15:00,7.41593441024285,0.9197236
2018/08/25 15:30:00,2018/08/26 15:30:00,5.31016,0.9197236
2018/08/25 15:45:00,2018/08/26 15:45:00,6.45097551292414,0.9197236
2018/08/25 16:00:00,2018/08/26 16:00:00,5.93425481906418,0.9197236
2018/08/25 16:15:00,2018/08/26 16:15:00,5.39762528895072,0.9197236
2018/08/25 16:30:00,2018/08/26 16:30:00,4.84338485261658,0.9197236
2018/08/25 16:45:00,2018/08/26 16:45:00,4.27390685269866,0.8713841
2018/08/25 17:00:00,2018/08/26 17:00:00,3.534187,0.8713841
2018/08/25 17:15:00,2018/08/26 17:15:00,2.930356,0.8389589
2018/08/25 17:30:00,2018/08/26 17:30:00,1.98909,0.7091403
2018/08/25 17:45:00,2018/08/26 17:45:00,1.260941,0.4838224
2018/08/25 18:00:00,2018/08/26 18:00:00,0.763668,0.4480966
2018/08/25 18:15:00,2018/08/26 18:15:00,0.355195,0.351554
2018/08/25 18:30:00,2018/08/26 18:30:00,0.0712970116730609,0.2213786
2018/08/25 18:45:00,2018/08/26 18:45:00,0,0.1235638
2018/08/25 19:00:00,2018/08/26 19:00:00,0,0.09109142
2018/08/25 19:15:00,2018/08/26 19:15:00,0,0.06031743
2018/08/25 19:30:00,2018/08/26 19:30:00,0,0.02756441
2018/08/25 19:45:00,2018/08/26 19:45:00,0,0.02756441
2018/08/25 20:00:00,2018/08/26 20:00:00,0,0.007200733
2018/08/25 20:15:00,2018/08/26 20:15:00,0,-0.02542643
2018/08/25 20:30:00,2018/08/26 20:30:00,0,0.007116606
2018/08/25 20:45:00,2018/08/26 20:45:00,0,-0.02325691
2018/08/25 21:00:00,2018/08/26 21:00:00,0,-0.03955718
2018/08/25 21:15:00,2018/08/26 21:15:00,0,-0.03960625
2018/08/25 21:30:00,2018/08/26 21:30:00,0,-0.02337004
2018/08/25 21:45:00,2018/08/26 21:45:00,0,-0.02337004
2018/08/25 22:00:00,2018/08/26 22:00:00,0,-0.02337004
2018/08/25 22:15:00,2018/08/26 22:15:00,0,-0.02337004
2018/08/25 22:30:00,2018/08/26 22:30:00,0,-0.03955827
2018/08/25 22:45:00,2018/08/26 22:45:00,0,-0.02318176
2018/08/25 23:00:00,2018/08/26 23:00:00,0,-0.02318176
2018/08/25 23:15:00,2018/08/26 23:15:00,0,-0.008606968
2018/08/25 23:30:00,2018/08/26 23:30:00,0,-0.008606968
2018/08/25 23:45:00,2018/08/26 23:45:00,0,0.006579793
2018/08/26 00:00:00,2018/08/27 00:00:00,0,0.006579793
2018/08/26 00:15:00,2018/08/27 00:15:00,0,0.006540691
2018/08/26 00:30:00,2018/08/27 00:30:00,0,-0.009648063
2018/08/26 00:45:00,2018/08/27 00:45:00,0,-0.009648063
2018/08/26 01:00:00,2018/08/27 01:00:00,0,-0.009648063
2018/08/26 01:15:00,2018/08/27 01:15:00,0,-0.009648063
2018/08/26 01:30:00,2018/08/27 01:30:00,0,0.006572955
2018/08/26 01:45:00,2018/08/27 01:45:00,0,0.006572955
2018/08/26 02:00:00,2018/08/27 02:00:00,0,0.006572955
2018/08/26 02:15:00,2018/08/27 02:15:00,0,0.006572955
2018/08/26 02:30:00,2018/08/27 02:30:00,0,0.006572955
2018/08/26 02:45:00,2018/08/27 02:45:00,0,0.006572955
2018/08/26 03:00:00,2018/08/27 03:00:00,0,-0.009596453
2018/08/26 03:15:00,2018/08/27 03:15:00,0,-0.02478321
2018/08/26 03:30:00,2018/08/27 03:30:00,0,-0.02478321
2018/08/26 03:45:00,2018/08/27 03:45:00,0,-0.05755769
2018/08/26 04:00:00,2018/08/27 04:00:00,0,-0.05755769
2018/08/26 04:15:00,2018/08/27 04:15:00,0,-0.04120212
2018/08/26 04:30:00,2018/08/27 04:30:00,0,-0.02044234
2018/08/26 04:45:00,2018/08/27 04:45:00,0,-0.03687129
